Action,Price,USD,Percent,Time
sell,719.04,725,0%,2021-01-02 08:21:00
sellOut,720.67,723.3564892078326,-0.22669114374722632%,2021-01-02 08:24:00
sell,759.5,723.3564892078326,0%,2021-01-02 22:18:00
sellOut,760.09,722.7945664578225,-0.0776826859776314%,2021-01-02 22:24:00
buy,878.83,722.7945664578225,0%,2021-01-03 22:09:00
buyOut,901.7,741.60401963408,2.602323543802565%,2021-01-03 22:30:00
sell,973.6,741.60401963408,0%,2021-01-04 08:12:00
sellOut,973.4,741.7563622839638,0.020542317173377622%,2021-01-04 08:14:00
sell,1005.48,741.7563622839638,0%,2021-01-04 22:09:00
sellOut,1009.83,738.5473077270007,-0.43262919202768924%,2021-01-04 22:10:00
buy,1064.23,738.5473077270007,0%,2021-01-05 08:04:00
buyOut,1072.23,744.0990948987736,0.7517172039878561%,2021-01-05 08:07:00
sell,1007.77,744.0990948987736,0%,2021-01-05 22:03:00
sellOut,1013.61,739.7870606903641,-0.5794973059328967%,2021-01-05 22:05:00
sell,1092.41,739.7870606903641,0%,2021-01-06 08:05:00
sellOut,1088.94,742.13696695321,0.317646304958763%,2021-01-06 08:12:00
buy,1145.67,742.13696695321,0%,2021-01-06 22:23:00
buyOut,1141.06,739.1507218585018,-0.4023846308273904%,2021-01-06 22:26:00
sell,1198.89,739.1507218585018,0%,2021-01-07 08:05:00
sellOut,1203.98,736.0125881062312,-0.42455938409695637%,2021-01-07 08:06:00
sell,1214.53,736.0125881062312,0%,2021-01-08 08:30:00
sellOut,1220.48,732.4068518138117,-0.4899014433566995%,2021-01-08 08:36:00
sell,1239.72,732.4068518138117,0%,2021-01-08 22:20:00
sellOut,1245.15,729.1988942061672,-0.43800212951312645%,2021-01-08 22:29:00
sell,1208.49,729.1988942061672,0%,2021-01-09 08:41:00
sellOut,1195.03,737.3206139688587,1.1137866262856955%,2021-01-09 08:49:00
sell,1285.67,737.3206139688587,0%,2021-01-10 22:53:00
sellOut,1292.39,733.466752149052,-0.5226846702497623%,2021-01-10 22:55:00
sell,1243.47,733.466752149052,0%,2021-01-11 08:03:00
sellOut,1236.76,737.4246778785994,0.539618969496658%,2021-01-11 08:15:00
sell,1024.76,737.4246778785994,0%,2021-01-11 22:02:00
sellOut,1011.06,747.283296566816,1.3368983957219305%,2021-01-11 22:07:00
sell,1072.04,747.283296566816,0%,2021-01-12 08:04:00
sellOut,1078.52,742.766304885766,-0.604455057647102%,2021-01-12 08:06:00
buy,1046.98,742.766304885766,0%,2021-01-12 22:08:00
buyOut,1047.56,743.1777783206297,0.05539742879518972%,2021-01-12 22:11:00
sell,1031.82,743.1777783206297,0%,2021-01-13 08:04:00
sellOut,1033.86,741.708449689886,-0.1977089027155765%,2021-01-13 08:07:00
buy,1078.78,741.708449689886,0%,2021-01-13 22:18:00
buyOut,1075.92,739.7420745567606,-0.26511429577855683%,2021-01-13 22:25:00
buy,1146.75,739.7420745567606,0%,2021-01-14 08:15:00
buyOut,1139.19,734.865292273221,-0.65925441465009%,2021-01-14 08:18:00
buy,1209.79,734.865292273221,0%,2021-01-14 22:39:00
buyOut,1204.95,731.9253208611559,-0.4000694335380417%,2021-01-14 22:48:00
buy,1251.35,731.9253208611559,0%,2021-01-15 08:09:00
buyOut,1247.93,729.9249336015203,-0.27330483078273904%,2021-01-15 08:12:00
sell,1210.95,729.9249336015203,0%,2021-01-15 22:17:00
sellOut,1207.3,732.1250459163521,0.30141624344524054%,2021-01-15 22:27:00
buy,1188.82,732.1250459163521,0%,2021-01-16 08:04:00
buyOut,1185.02,729.7848470851732,-0.3196446896923%,2021-01-16 08:11:00
sell,1219.07,729.7848470851732,0%,2021-01-16 22:29:00
sellOut,1226.02,725.6242946253128,-0.5701067206969279%,2021-01-16 22:30:00
sell,1208.15,725.6242946253128,0%,2021-01-17 08:10:00
sellOut,1210.31,724.3269818111834,-0.17878574680294523%,2021-01-17 08:12:00
sell,1231.01,724.3269818111834,0%,2021-01-18 22:33:00
sellOut,1228.98,725.5214349619106,0.16490524041233856%,2021-01-18 22:38:00
sell,1403.71,725.5214349619106,0%,2021-01-19 22:08:00
sellOut,1410.55,721.9861131253921,-0.4872801362104662%,2021-01-19 22:12:00
buy,1373.92,721.9861131253921,0%,2021-01-20 08:02:00
buyOut,1384.43,727.5090504499436,0.7649644811924983%,2021-01-20 08:09:00
sell,1364.66,727.5090504499436,0%,2021-01-21 08:05:00
sellOut,1370.17,724.5716339007818,-0.4037635748098456%,2021-01-21 08:06:00
sell,1222.65,724.5716339007818,0%,2021-01-21 22:09:00
sellOut,1225.35,722.9715493209494,-0.22083179977916423%,2021-01-21 22:15:00
sell,1094.97,722.9715493209494,0%,2021-01-22 08:18:00
sellOut,1056.19,748.576667892843,3.5416495429098527%,2021-01-22 08:28:00
sell,1210.2,748.576667892843,0%,2021-01-23 08:07:00
sellOut,1212.32,747.2653288282812,-0.17517765658567885%,2021-01-23 08:15:00
sell,1221.64,747.2653288282812,0%,2021-01-23 22:20:00
sellOut,1228.57,743.0263151018316,-0.5672702269080787%,2021-01-23 22:27:00
sell,1308.87,743.0263151018316,0%,2021-01-24 22:40:00
sellOut,1307.77,743.6507689793076,0.08404195985849405%,2021-01-24 22:52:00
buy,1406.82,743.6507689793076,0%,2021-01-25 08:09:00
buyOut,1412.21,746.4999448829759,0.3831335920729151%,2021-01-25 08:17:00
sell,1402.69,746.4999448829759,0%,2021-01-25 22:53:00
sellOut,1411.2,741.9709937027764,-0.6066914286121605%,2021-01-25 23:03:00
buy,1327.76,741.9709937027764,0%,2021-01-26 08:04:00
